endpoint,nodeId,browseName,displayName,nodeClass,dataTypeId,valueRank,access,userAccess,currentValue
opc.tcp://plc:4840,ns=0;i=2190,PublishRequestCount,PublishRequestCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=8892,UnacknowledgedMessageCount,UnacknowledgedMessageCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=8893,DiscardedMessageCount,DiscardedMessageCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=8889,LatePublishRequestCount,LatePublishRequestCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=8890,CurrentKeepAliveCount,CurrentKeepAliveCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2184,RepublishRequestCount,RepublishRequestCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=8902,EventQueueOverflowCount,EventQueueOverflowCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2181,ModifyCount,ModifyCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2998,EventNotificationsCount,EventNotificationsCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2175,Priority,Priority,2,ns=0;i=3,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2188,TransferredToAltClientCount,TransferredToAltClientCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=8897,NextSequenceNumber,NextSequenceNumber,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2191,DataChangeNotificationsCount,DataChangeNotificationsCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=8894,MonitoredItemCount,MonitoredItemCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2182,EnableCount,EnableCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2185,RepublishMessageRequestCount,RepublishMessageRequestCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2763,Id,Id,2,ns=0;i=24,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=2766,TransitionTime,TransitionTime,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=2764,Name,Name,2,ns=0;i=20,-1,1,1,"{""namespaceIndex"":0}"
opc.tcp://plc:4840,ns=0;i=2765,Number,Number,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11456,EffectiveTransitionTime,EffectiveTransitionTime,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=3055,SoftwareVersion,SoftwareVersion,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=3054,ProductName,ProductName,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=3053,ManufacturerName,ManufacturerName,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=3052,ProductUri,ProductUri,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=3057,BuildDate,BuildDate,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=3056,BuildNumber,BuildNumber,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=2367,ValuePrecision,ValuePrecision,2,ns=0;i=11,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2366,Definition,Definition,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=2160,CurrentSubscriptionCount,CurrentSubscriptionCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2163,RejectedRequestsCount,RejectedRequestsCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2157,SessionAbortCount,SessionAbortCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2151,ServerViewCount,ServerViewCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2154,SecurityRejectedSessionCount,SecurityRejectedSessionCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2161,CumulatedSubscriptionCount,CumulatedSubscriptionCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2155,RejectedSessionCount,RejectedSessionCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2152,CurrentSessionCount,CurrentSessionCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2162,SecurityRejectedRequestsCount,SecurityRejectedRequestsCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2156,SessionTimeoutCount,SessionTimeoutCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2159,PublishingIntervalCount,PublishingIntervalCount,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2153,CumulatedSessionCount,CumulatedSessionCount,2,ns=0;i=7,-1,1,1,0
